iter	RMSE
0	1.328353534
1	1.232333584
2	1.14580942
3	1.067493343
4	0.9944131656
5	0.9291849807
6	0.8696338034
7	0.8142339759
8	0.7643034663
9	0.7195747766
10	0.6780252515
11	0.6406521185
12	0.6070377418
13	0.5757598658
14	0.5486410488
15	0.5239494733
16	0.4990208139
17	0.4763950598
18	0.4575074093
19	0.4387459105
20	0.4217983258
21	0.4056457112
22	0.3915502362
23	0.3783413213
24	0.365674838
25	0.3546923187
26	0.3441031653
27	0.335314282
28	0.3268552272
29	0.3193573422
30	0.310215562
31	0.3036606813
32	0.297757148
33	0.2924653754
34	0.2854224679
35	0.2803769971
36	0.2758352294
37	0.2721294519
38	0.2665489085
39	0.261316498
40	0.2560941421
41	0.2523228062
42	0.24834717
43	0.2455924058
44	0.24008743
45	0.2375962647
46	0.2341176256
47	0.2317996981
48	0.2274846299
49	0.2250965888
50	0.2203417244
51	0.2170637228
52	0.2139567965
53	0.2118546883
54	0.2098231173
55	0.2070111635
56	0.2055249694
57	0.2027488895
58	0.2014665905
59	0.1996504217
60	0.1958121888
61	0.1944225707
62	0.1915006225
63	0.1891323095
64	0.1869645732
65	0.1856417808
66	0.1842243264
67	0.1831030329
68	0.1813917819
69	0.1797611781
70	0.1781372775
71	0.1769579722
72	0.1745384686
73	0.173331595
74	0.1724592297
75	0.1714847557
76	0.1706404582
77	0.1685158951
78	0.1679245158
79	0.1660024572
80	0.1651668921
81	0.1646376863
82	0.1634683862
83	0.1627180104
84	0.1604398359
85	0.1598160911
86	0.1589777547
87	0.1584086614
88	0.1576178022
89	0.1559052132
90	0.1548398012
91	0.1542606764
92	0.1534736833
93	0.1523721595
94	0.1520110591
95	0.1515596346
96	0.1512957735
97	0.150033694
98	0.1497789865
99	0.1495004254
100	0.1481780713
101	0.1477049977
102	0.1473711349
103	0.1467975222
104	0.1457880229
105	0.1452279772
106	0.1441978058
107	0.1437566903
108	0.1430455445
109	0.1428043509
110	0.1422748922
111	0.1419038133
112	0.1413708843
113	0.1410792519
114	0.1405599314
115	0.1401981228
116	0.1400027462
117	0.1393879968
118	0.1391664249
119	0.1390394572
120	0.1388408358
121	0.1383305121
122	0.1379318796
123	0.1375545192
124	0.1372256486
125	0.1368035929
126	0.1366345536
127	0.1364274211
128	0.1362134899
129	0.1357700861
130	0.13542986
131	0.1351942576
132	0.135063353
133	0.1348456684
134	0.1347055596
135	0.13436555
136	0.134137436
137	0.1337620855
138	0.1335173984
139	0.1334026955
140	0.1331326544
141	0.1330397495
142	0.1326306799
143	0.1325049861
144	0.1322739574
145	0.1320700982
146	0.1318289217
147	0.1316331488
