iter	Passed	Remaining
0	6	6801
1	13	6924
2	19	6474
3	25	6324
4	31	6183
5	36	6081
6	42	6011
7	47	5947
8	53	5912
9	59	5894
10	65	5844
11	71	5913
12	78	5933
13	84	5923
14	90	5936
15	95	5898
16	101	5876
17	107	5865
18	113	5854
19	118	5828
20	125	5845
21	132	5869
22	139	5936
23	146	5970
24	153	5981
25	160	6024
26	167	6027
27	174	6043
28	180	6055
29	188	6079
30	194	6068
31	199	6036
32	205	6021
33	210	5994
34	216	5969
35	222	5950
36	227	5927
37	233	5903
38	238	5882
39	244	5861
40	249	5839
41	255	5821
42	260	5796
43	266	5785
44	272	5774
45	277	5753
46	282	5735
47	288	5728
48	294	5711
49	300	5705
50	306	5695
51	311	5677
52	317	5674
53	323	5665
54	328	5647
55	334	5644
56	340	5629
57	345	5614
58	351	5605
59	357	5605
60	364	5612
61	370	5607
62	377	5611
63	384	5627
64	390	5616
65	397	5625
66	403	5618
67	411	5636
68	418	5651
69	424	5646
70	431	5647
71	437	5636
72	443	5631
73	449	5629
74	456	5624
75	462	5617
76	467	5601
77	473	5595
78	479	5586
79	484	5574
80	490	5563
81	496	5556
82	501	5542
83	507	5530
84	512	5520
85	518	5509
86	524	5501
87	529	5491
88	536	5487
89	542	5482
90	547	5472
91	553	5459
92	560	5462
93	566	5456
94	572	5454
95	578	5450
96	584	5440
97	590	5435
98	595	5423
99	600	5408
100	606	5402
101	612	5395
102	618	5388
103	624	5383
104	630	5372
105	635	5362
106	641	5355
107	647	5345
108	652	5337
109	658	5328
110	663	5316
111	669	5310
112	675	5299
113	680	5287
114	686	5282
115	691	5271
116	697	5261
117	703	5255
118	708	5246
119	714	5242
120	720	5233
121	726	5226
122	732	5221
123	738	5216
124	744	5208
125	749	5201
126	755	5191
127	760	5180
128	765	5169
129	771	5160
130	776	5152
131	782	5142
132	787	5131
133	793	5125
134	798	5116
135	804	5108
136	809	5097
137	814	5088
138	819	5077
139	825	5070
140	830	5061
141	836	5053
142	842	5046
143	847	5040
144	853	5032
145	859	5026
146	864	5017
147	870	5010
148	875	5001
149	880	4991
150	886	4983
151	891	4975
152	898	4972
153	904	4968
154	910	4963
155	916	4955
156	921	4948
157	927	4941
158	932	4932
159	937	4924
160	943	4916
161	949	4910
162	954	4900
163	959	4892
164	965	4884
165	970	4874
166	975	4866
167	980	4857
168	986	4850
169	991	4840
170	997	4834
171	1002	4825
172	1008	4818
173	1013	4810
174	1018	4801
175	1023	4793
176	1029	4784
177	1034	4777
178	1040	4770
179	1045	4762
180	1050	4753
181	1056	4750
182	1063	4747
183	1069	4742
184	1075	4739
185	1081	4734
186	1087	4729
187	1093	4724
188	1099	4716
189	1105	4713
190	1111	4708
191	1117	4701
192	1123	4699
193	1129	4691
194	1135	4685
195	1140	4678
196	1145	4669
197	1152	4669
198	1158	4662
199	1164	4657
200	1170	4652
201	1175	4644
202	1181	4639
203	1187	4633
204	1192	4626
205	1198	4619
206	1203	4611
207	1209	4604
208	1215	4598
209	1220	4592
210	1226	4586
211	1231	4579
212	1237	4572
213	1242	4565
214	1248	4559
215	1254	4552
216	1260	4547
217	1266	4542
218	1272	4539
219	1279	4535
220	1285	4530
221	1290	4523
222	1296	4516
223	1301	4509
224	1307	4502
225	1312	4495
226	1318	4489
227	1323	4481
228	1330	4478
229	1335	4472
230	1341	4466
231	1348	4465
232	1354	4457
233	1360	4452
234	1366	4447
235	1371	4441
236	1379	4441
237	1385	4435
238	1392	4434
239	1399	4431
240	1405	4425
241	1414	4429
242	1420	4425
243	1429	4427
244	1435	4422
245	1444	4427
246	1450	4422
247	1458	4422
248	1464	4417
249	1471	4413
250	1478	4412
251	1483	4404
252	1490	4400
253	1495	4393
254	1501	4386
255	1508	4383
256	1513	4375
257	1519	4369
258	1526	4366
259	1531	4358
260	1537	4354
261	1543	4348
262	1549	4341
263	1555	4335
264	1560	4328
265	1566	4321
266	1571	4314
267	1577	4307
268	1582	4300
269	1587	4292
270	1593	4286
271	1598	4278
272	1604	4271
273	1609	4263
274	1614	4256
275	1620	4251
276	1626	4246
277	1640	4260
278	1645	4252
279	1651	4246
280	1656	4238
281	1662	4231
282	1667	4224
283	1673	4218
284	1678	4210
285	1683	4203
286	1689	4197
287	1694	4189
288	1700	4182
289	1706	4177
290	1711	4170
291	1716	4163
292	1722	4155
293	1727	4149
294	1733	4142
295	1738	4135
296	1743	4128
297	1749	4122
298	1755	4115
299	1761	4109
300	1767	4104
301	1772	4097
302	1778	4091
303	1784	4086
304	1790	4079
305	1797	4076
306	1803	4070
307	1809	4065
308	1815	4060
309	1821	4054
310	1828	4050
311	1834	4044
312	1839	4038
313	1847	4035
314	1852	4028
315	1858	4023
316	1864	4018
317	1870	4011
318	1877	4008
319	1883	4001
320	1888	3995
321	1894	3988
322	1899	3981
323	1904	3974
324	1910	3967
325	1915	3960
326	1921	3955
327	1926	3947
328	1932	3940
329	1937	3933
330	1942	3926
331	1948	3920
332	1954	3914
333	1960	3909
334	1966	3902
335	1971	3895
336	1976	3889
337	1982	3883
338	1988	3878
339	1994	3870
340	1999	3863
341	2004	3857
342	2010	3850
343	2015	3843
344	2020	3836
345	2026	3829
346	2031	3822
347	2036	3816
348	2042	3809
349	2048	3803
350	2053	3796
351	2058	3789
352	2064	3783
353	2069	3776
354	2075	3770
355	2080	3764
356	2086	3757
357	2091	3750
358	2097	3744
359	2102	3737
360	2108	3731
361	2113	3725
362	2119	3718
363	2124	3712
364	2129	3705
365	2135	3699
366	2140	3692
367	2146	3686
368	2152	3681
369	2157	3674
370	2165	3671
371	2171	3666
372	2177	3660
373	2184	3656
374	2189	3649
375	2196	3645
376	2202	3640
377	2208	3633
378	2214	3629
379	2220	3622
380	2226	3617
381	2233	3614
382	2239	3607
383	2245	3602
